review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,order_date,updated_at,_ingested_at,_source_file,_batch_id
81c5669fa311c2c445ae5edd0508bdae,a6ecc5068e6e585b2dca3e496ba4b277,5,,,2018-07-25 00:00:00,2018-07-26 10:29:04,2018-07-13,2018-07-26 10:29:04.000000,2026-08-27T05:20:36.199400+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-13/order_reviews.parquet,2018-07-13
a2115fc4324c598dd5f443e143ed28a5,e15c6296371161f7eabd6ce8335b5b51,5,,,2018-07-27 00:00:00,2018-07-30 21:56:18,2018-07-13,2018-07-30 21:56:18.000000,2026-08-27T05:20:36.199400+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-13/order_reviews.parquet,2018-07-13
a95e8735e96653b72e94260dee841afd,de6ecf700b95b7b8f6d4dbea03fd56dc,5,,,2018-07-27 00:00:00,2018-08-03 01:09:22,2018-07-19,2018-08-03 01:09:22.000000,2026-08-27T05:21:26.143436+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-19/order_reviews.parquet,2018-07-19
7548eb73f33de2608a1985e65302320f,a415ad4db7ac7a8d3f67fa7aeb0d569e,5,recomendo,,2018-07-24 00:00:00,2018-07-25 12:56:46,2018-07-19,2018-07-25 12:56:46.000000,2026-08-27T05:21:26.143436+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-19/order_reviews.parquet,2018-07-19
73169d4d6221ff5683934657b95884ff,87850ccd83d669cf004ea32dd917d6c4,5,,,2018-07-31 00:00:00,2018-07-31 19:05:08,2018-07-19,2018-07-31 19:05:08.000000,2026-08-27T05:21:26.143436+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-19/order_reviews.parquet,2018-07-19
2d55d27ca66d810201a1f4e5b26a5da8,8a16ff3cd34e92ae56b0bdcb66dc56e3,5,,,2018-07-21 00:00:00,2018-07-24 09:06:41,2018-07-18,2018-07-24 09:06:41.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
8de2541607b532c525fbeac7ef3e0e2f,af8f5e473ef8dd20e4357b3bddf1accd,4,,,2018-07-26 00:00:00,2018-07-27 11:03:48,2018-07-18,2018-07-27 11:03:48.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
4e238abca8ef1c4b80163dc048c47db6,39f59663a51684e7a63cb122f615af62,4,,,2018-07-27 00:00:00,2018-07-30 07:54:21,2018-07-18,2018-07-30 07:54:21.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
5f15ee468edfd04e2ca5ecd29b67ad40,162f8986e2cc7a5fca25fd4be685b98d,5,,,2018-08-02 00:00:00,2018-08-08 16:02:41,2018-07-18,2018-08-08 16:02:41.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
876170a550c72ee4d0b7e955d1165926,192280704cc4c1f82086c55f0622f09b,4,,,2018-07-31 00:00:00,2018-08-01 14:00:09,2018-07-18,2018-08-01 14:00:09.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
21cfcdc86f6794bc713bb43618a91971,818bd343c0073f9624ca1801fd39f4db,5,,,2018-07-21 00:00:00,2018-07-23 21:21:22,2018-07-18,2018-07-23 21:21:22.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
5116147859c4aaf846b457db0244c4cf,701a22b8c16c09a0c9514c41dfbf28de,5,Muito boa.,,2018-08-07 00:00:00,2018-08-10 01:38:49,2018-07-18,2018-08-10 01:38:49.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
e2a8dc5c702bc7c006e91ee921d39abb,4870f8be587a9e5643156fb4f22d02e2,5,,,2018-08-01 00:00:00,2018-08-02 01:07:22,2018-07-18,2018-08-02 01:07:22.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
17ec6ea7fb425f051d8c34855cbe7541,1a4514c5462bbdb806d15e6b241c7a70,5,,,2018-07-25 00:00:00,2018-07-25 20:36:50,2018-07-18,2018-07-25 20:36:50.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
26253c502429b573941a028ba6191aa9,8cb4c3b93d004ba346c01cbbc9cf5c73,5,RECOMENDADO,Recebi bem antes do prazo,2018-07-28 00:00:00,2018-07-30 11:34:04,2018-07-18,2018-07-30 11:34:04.000000,2026-08-27T05:21:18.103171+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-18/order_reviews.parquet,2018-07-18
