order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_date,updated_at,_ingested_at,_source_file,_batch_id
274f33c3b4d5612a37e3a223a2d9bc5a,7bf63211707f2c328795bf65a0a7b7eb,delivered,2018-07-17 20:27:32,2018-07-17 20:41:41,2018-07-19 13:21:00,2018-07-24 20:14:47,2018-08-06 00:00:00,2018-07-17,2018-08-06 00:00:00.000000,2026-08-27T05:21:10.303320+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-17/orders.parquet,2018-07-17
96cf7ecd8c676d61be261ffdda90b008,4db8e7231d058620315de1fea6ad9ae8,delivered,2018-07-17 16:22:32,2018-07-18 02:41:51,2018-07-18 13:47:00,2018-07-20 16:38:41,2018-07-25 00:00:00,2018-07-17,2018-07-25 00:00:00.000000,2026-08-27T05:21:10.303320+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-17/orders.parquet,2018-07-17
2dc5825eb69b865a9c9b8fbfa69c340d,9a0f9aa98b8176aa96732ecc86f540ea,delivered,2018-07-17 13:19:56,2018-07-17 13:30:15,2018-07-23 07:16:00,2018-07-26 15:17:28,2018-08-03 00:00:00,2018-07-17,2018-08-03 00:00:00.000000,2026-08-27T05:21:10.303320+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-17/orders.parquet,2018-07-17
5b514a1a40e8cd51a1f35c2df28da032,7f3bcd2349e4a230e5e55ce40a0a9027,delivered,2018-07-17 20:57:14,2018-07-17 21:05:17,2018-07-27 11:54:00,2018-08-04 17:50:39,2018-08-03 00:00:00,2018-07-17,2018-08-04 17:50:39.000000,2026-08-27T05:21:10.303320+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-17/orders.parquet,2018-07-17
4faebdf74e934f7b66d8da301d77d774,2692be767927fbcf8145f370004a9d7a,delivered,2018-07-17 14:53:56,2018-07-17 15:05:11,2018-07-21 09:04:00,2018-07-30 11:36:38,2018-08-07 00:00:00,2018-07-17,2018-08-07 00:00:00.000000,2026-08-27T05:21:10.303320+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-17/orders.parquet,2018-07-17
87850ccd83d669cf004ea32dd917d6c4,c82d7cb984499a33646e2378f2624f9c,delivered,2018-07-19 20:54:46,2018-07-21 03:05:11,2018-07-24 15:04:00,2018-07-30 14:12:00,2018-08-20 00:00:00,2018-07-19,2018-08-20 00:00:00.000000,2026-08-27T05:21:26.143436+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-19/orders.parquet,2018-07-19
de6ecf700b95b7b8f6d4dbea03fd56dc,98b5b8ac8f4775c874fae11ad151713d,delivered,2018-07-19 11:50:46,2018-07-19 12:03:05,2018-07-20 06:10:00,2018-07-26 18:59:27,2018-08-06 00:00:00,2018-07-19,2018-08-06 00:00:00.000000,2026-08-27T05:21:26.143436+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-19/orders.parquet,2018-07-19
a415ad4db7ac7a8d3f67fa7aeb0d569e,66fab3d0d2b0b2fd1e362ef8d9084fc3,delivered,2018-07-19 10:39:04,2018-07-19 11:05:11,2018-07-20 14:00:00,2018-07-23 16:10:34,2018-08-06 00:00:00,2018-07-19,2018-08-06 00:00:00.000000,2026-08-27T05:21:26.143436+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-19/orders.parquet,2018-07-19
c5625e0deb904fd1ae3c6c4a3a4a55d5,264bb2e28d33a8ab98b8c8e1907d7754,delivered,2018-07-26 14:11:55,2018-07-27 02:05:11,2018-07-30 13:20:00,2018-07-31 17:18:42,2018-08-13 00:00:00,2018-07-26,2018-08-13 00:00:00.000000,2026-08-27T05:22:35.058837+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-26/orders.parquet,2018-07-26
34fa7b125777f2296cee0450560eeeac,ae465bbe84317da88ae36da295a03275,delivered,2018-07-26 19:09:13,2018-07-26 19:44:06,2018-07-27 15:58:00,2018-08-01 23:33:48,2018-08-23 00:00:00,2018-07-26,2018-08-23 00:00:00.000000,2026-08-27T05:22:35.058837+00:00,D:/D drive recovery/Shiva JH/Projects/OneLake Medallion/data/landing/2018-07-26/orders.parquet,2018-07-26
